ID,name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,deity,SLA_Level,domain,short_description,majorcaster_cost_mult,powercaster_cost_mult,caster_cost_mult,minorcaster_cost_mult,best_spell_cost,material_cost,scroll_cost,potion_cost,wand_cost,URL
1,Acid Arrow,Conjuration,Creation,acid,"sorcerer/wizard 2, magus 2",1 standard action,"V, S, M (rhubarb leaf and an adder's stomach), F (a dart)",0,Long (400 ft. + 40 ft./level),NULL,One arrow of acid,NULL,1 round + 1 round per three levels,0,0,None,No,"An arrow of acid springs from your hand and speeds to its target. You must succeed on a ranged touch attack to hit your target. The arrow deals 2d4 points of acid damage with no splash damage. For every three caster levels you possess, the acid, unless ne","<p>An arrow of acid springs from your hand and speeds to its target. You must succeed on a ranged touch attack to hit your target. The arrow deals 2d4 points of acid damage with no splash damage. For every three caster levels you possess, the acid, unless",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Acid Arrow </p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (creation) [acid]; <b>Level </b>sorcerer/wizard 2, magus 2</h5><h5><b>Casting Time </b>1 ",1,1,1,1,0,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,2,NULL,Ranged touch attack; 2d4 damage for 1 round + 1 round/three levels.,6,8,6,NULL,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/a/acid-arrow
2,Acid Fog,Conjuration,Creation,acid,"sorcerer/wizard 6, magus 6",1 standard action,"V, S, M (powdered peas and an animal hoof)",0,Medium (100 ft. + 10 ft./level),NULL,"Fog spreads in 20-ft. radius, 20 ft. high",NULL,1 round/level,0,0,None,No,"Acid fog creates a billowing mass of misty vapors like the solid fog spell. In addition to slowing down creatures and obscuring sight, this spell's vapors are highly acidic. Each round on your turn, starting when you cast the spell, the fog deals 2d6 poin","<p><i>Acid fog</i> creates a billowing mass of misty vapors like the <i>solid fog</i> spell. In addition to slowing down creatures and obscuring sight, this spell's vapors are highly acidic. Each round on your turn, starting when you cast the spell, the f",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Acid Fog </p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (creation) [acid]; <b>Level </b>sorcerer/wizard 6, magus 6</h5><h5><b>Casting Time </b>1 st",1,1,1,0,0,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,6,NULL,Fog deals acid damage.,66,72,66,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/a/acid-fog
3,Acid Splash,Conjuration,Creation,acid,"sorcerer/wizard 0, summoner 0, inquisitor 0, magus 0",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,One missile of acid,NULL,Instantaneous,0,0,None,No,You fire a small orb of acid at the target. You must succeed on a ranged touch attack to hit your target. The orb deals 1d3 points of acid damage. This acid disappears after 1 round.,<p>You fire a small orb of acid at the target. You must succeed on a ranged touch attack to hit your target. The orb deals 1d3 points of acid damage. This acid disappears after 1 round.</p>,PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Acid Splash </p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (creation) [acid]; <b>Level </b>sorcerer/wizard 0, summoner 0, inquisitor 0, magus 0</h5",1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,0,NULL,0,NULL,Orb deals 1d3 acid damage.,0,0,0,NULL,0,NULL,12,25,375,http://www.d20pfsrd.com/magic/all-spells/a/acid-splash
4,Aid,Enchantment,Compulsion,mind-affecting,"cleric 2, inquisitor 2, alchemist 2",1 standard action,"V, S, DF",0,Touch,NULL,NULL,Living creature touched,1 min./level,0,0,None,Yes (harmless),"Aid grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).","<p><i>Aid</i> grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).</p>",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Aid</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>cleric 2, alchemist 2, inquisitor 2</h5><h5><b>Castin",1,1,0,0,1,NULL,NULL,2,NULL,NULL,NULL,NULL,2,NULL,NULL,2,NULL,NULL,NULL,NULL,2,"luck, tactics","+1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10).",6,NULL,6,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/a/aid
5,Air Walk,Transmutation,NULL,air,"cleric 4, druid 4, alchemist 4",1 standard action,"V, S, DF",0,Touch,NULL,NULL,Creature (Gargantuan or smaller) touched,10 min./level,0,0,None,Yes (harmless),"The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to half the air walker's normal speed. A strong wind (21+ miles per hou","<p>The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to half the air walker's normal speed.</p><p>A strong wind (21+ mile",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Air Walk </p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation [air]; <b>Level </b>cleric 4, druid 4, alchemist 4</h5><h5><b>Casting Time </b>1 standard",1,1,0,0,1,NULL,NULL,4,4,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,air,Subject treads on air as if solid (climb or descend at 45-degree angle).,28,NULL,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/a/air-walk
6,Align Weapon,Transmutation,NULL,see text,"cleric 2, inquisitor 2",1 standard action,"V, S, DF",0,Touch,NULL,NULL,Weapon touched or 50 projectiles (all of which must be together at the time of casting),1 min./level,0,0,"Will negates (harmless, object)","Yes (harmless, object)","Align weapon makes a weapon chaotic, evil, good, or lawful, as you choose. A weapon that is aligned can bypass the damage reduction of certain creatures. This spell has no effect on a weapon that already has an alignment. You can't cast this spell on a na","<p><i>Align weapon</i> makes a weapon chaotic, evil, good, or lawful, as you choose. A weapon that is aligned can bypass the damage reduction of certain creatures. This spell has no effect on a weapon that already has an alignment.</p><p>You can't cast th",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Align Weapon </p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation [see text]; <b>Level </b>cleric 2, inquisitor 2</h5><h5><b>Casting Time </b>1 standar",1,1,0,0,1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,2,"chaos, evil, good, law","Weapon becomes good, evil, lawful, or chaotic.",6,NULL,NULL,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/a/align-weapon
7,Alter Self,Transmutation,Polymorph,NULL,"bard 2, sorcerer/wizard 2, witch 2, summoner 2, alchemist 2, magus 2",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,Personal,NULL,NULL,You,1 min./level,1,0,None,No,"When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet. ","<p>When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 fee",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Alter Self </p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation (polymorph); <b>Level </b>bard 2, sorcerer/wizard 2, alchemist 2, summoner 2, witch 2</",1,1,1,0,0,2,2,NULL,NULL,NULL,2,NULL,2,2,2,NULL,NULL,NULL,2,NULL,2,NULL,Assume form of a Small or Medium humanoid.,6,8,6,NULL,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/a/alter-self
8,Alarm,Abjuration,NULL,NULL,"bard 1, ranger 1, sorcerer/wizard 1, summoner 1, inquisitor 1",1 standard action,"V, S, F/DF (a tiny bell and a piece of very fine silver wire)",0,Close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation centered on a point in space,NULL,NULL,2 hours/level,1,0,None,No,"Alarm creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (det","<p><i>Alarm</i> creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the pas",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Alarm </p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>bard 1, ranger 1, sorcerer/wizard 1, summoner 1, inquisitor 1</h5><h5><b>Casting ",1,1,0,1,1,1,1,NULL,NULL,1,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,1,home,Wards an area for 2 hours/level.,1,1,1,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/a/alarm
9,Analyze Dweomer,Divination,NULL,NULL,"bard 6, sorcerer/wizard 6, witch 6, alchemist 6",1 standard action,"V, S, F (a ruby and gold lens worth 1,500 gp)",1,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One object or creature per caster level,1 round/level,1,0,None or Will negates; see text,No,"You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate), a","<p>You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate)",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Analyze Dweomer </p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>bard 6, sorcerer/wizard 6, alchemist 6, witch 6</h5><h5><b>Casting Time",1,1,0,1,0,6,6,NULL,NULL,NULL,6,NULL,6,NULL,6,NULL,NULL,NULL,NULL,NULL,6,arcane,Reveals magical aspects of subject.,66,72,66,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/a/analyze-dweomer
10,Animal Growth,Transmutation,NULL,NULL,"druid 5, ranger 4, sorcerer/wizard 5",1 standard action,"V, S",0,Medium (100 ft. + 10 ft./level),NULL,NULL,One animal (Gargantuan or smaller),1 min./level,0,0,Fortitude negates,Yes,"The target animal grows to twice its normal size and eight times its normal weight. This alteration changes the animal's size category to the next largest, grants it a +8 size bonus to Strength and a +4 size bonus to Constitution (and thus an extra 2 hit ","<p>The target animal grows to twice its normal size and eight times its normal weight. This alteration changes the animal's size category to the next largest, grants it a +8 size bonus to Strength and a +4 size bonus to Constitution (and thus an extra 2 h",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Animal Growth </p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 5, ranger 4, sorcerer/wizard 5</h5><h5><b>Casting Time </b>1 sta",1,1,0,0,0,5,5,NULL,5,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,scalykind,One animal doubles in size.,45,50,NULL,40,40,NULL,1000,2000,30000,http://www.d20pfsrd.com/magic/all-spells/a/animal-growth
